segment,name,placeId,mapsUrl,categoryName,categories,address,district,city,phone,hasWebsite,websiteUrl,rating,reviewsCount,hasOpeningHours,isClosed,matchedSearchTerms,missingSearchTerms,matchedSegments,missingSegments,matchedSearchTermCount,firstMatchedSearchTerm,searchCoverageNote,searchCoverageSignal,score,bucket,reasons,rawRecordCount,collectedAt,latitude,longitude
berber,Kardeşler Erkek Kuaförü,ChIJV7G9hDWqyhQRW9tnJDlO5FY,https://www.google.com/maps/search/?api=1&query=Karde%C5%9Fler%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJV7G9hDWqyhQRW9tnJDlO5FY,,,"Taşoluk, Yeşilpazar Cd. No:8, 34283 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:13.283Z,41.1950117,28.7164595
berber,Keklik Erkek Kuaförü,ChIJKS8WjouryhQRgxqrQLhoZh8,https://www.google.com/maps/search/?api=1&query=Keklik%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJKS8WjouryhQRgxqrQLhoZh8,,,"Yunus Emre, Necip Fazıl Cd. No:237, 34285 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:13.041Z,41.1864549,28.761281
berber,Merkez Erkek Kuaförü,ChIJ0RAnAqKryhQRSkJZiz7FJok,https://www.google.com/maps/search/?api=1&query=Merkez%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJ0RAnAqKryhQRSkJZiz7FJok,,,"İslambey, Sokullu Mehmet Cad. No:204, 34277 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:17.015Z,41.2021674,28.7427499
berber,Riza Gürbüz Erkek Kuaförü,ChIJSUnmGI2ryhQRgX30jDtGM2E,https://www.google.com/maps/search/?api=1&query=Riza%20G%C3%BCrb%C3%BCz%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJSUnmGI2ryhQRgX30jDtGM2E,,,"Yunus Emre, Oymak Sk., 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:13.324Z,41.185718,28.7572282
berber,Rıza Erkek kuaförü,ChIJ8cf9JACryhQRaPAADBT6P7g,https://www.google.com/maps/search/?api=1&query=R%C4%B1za%20Erkek%20kuaf%C3%B6r%C3%BC&query_place_id=ChIJ8cf9JACryhQRaPAADBT6P7g,Hair salon,Hair salon,"Rıza ERKEK Kuaförü, Karlıbayır, Gürsoy Sk. No:29, 34281 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:15.039Z,41.1811998,28.7138154
berber,STIL ERKEK KUAFÖRÜ,ChIJSTNQIwCryhQRTQebZrPHyS8,https://www.google.com/maps/search/?api=1&query=STIL%20ERKEK%20KUAF%C3%96R%C3%9C&query_place_id=ChIJSTNQIwCryhQRTQebZrPHyS8,Hair salon,Hair salon,"Yavuz Selim, Yürüyüş Sk. No:13, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:15.316Z,41.2110331,28.735732
berber,Sefer Erkek Kuaförü,ChIJS3tyh22ryhQRx7V5eWBRY5A,https://www.google.com/maps/search/?api=1&query=Sefer%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJS3tyh22ryhQRx7V5eWBRY5A,,,"İmrahor, Abdullah Gül Cd. No:153, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:10.616Z,41.2151712,28.7465411
berber,Sultan Erkek Kuaforu,ChIJ_eg38sGryhQRQImYfWE1Bww,https://www.google.com/maps/search/?api=1&query=Sultan%20Erkek%20Kuaforu&query_place_id=ChIJ_eg38sGryhQRQImYfWE1Bww,,,"Anadolu, Necip Fazıl Cd. No:3, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:27.686Z,41.1844421,28.7419416
berber,Walid Erkek Kuaförü,ChIJ-RgKs5KryhQRfVjl4weOdoQ,https://www.google.com/maps/search/?api=1&query=Walid%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJ-RgKs5KryhQRfVjl4weOdoQ,,,"Anadolu, Beraat Sk. No:6, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,,,False,,,0,False,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:09.464Z,41.1855199,28.7538007
berber,Yasin Özdemir Barbershop,ChIJQ23rEQCryhQRzVPuvF74W94,https://www.google.com/maps/search/?api=1&query=Yasin%20%C3%96zdemir%20Barbershop&query_place_id=ChIJQ23rEQCryhQRzVPuvF74W94,Barber shop,Barber shop,"merkez mahallesi, Ayşıl Sk. No:23 D:B, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,False,False,barbershop,berber | erkek kuaforu | erkek kuaförü | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,barbershop,"barbershop ile cikti, berber, erkek kuaforu, erkek kuaförü, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:05:28.337Z,41.1830419,28.7429174
berber,Yd Style Barber Shop,ChIJL2LViZKryhQR7G9RZG2r_Tw,https://www.google.com/maps/search/?api=1&query=Yd%20Style%20Barber%20Shop&query_place_id=ChIJL2LViZKryhQR7G9RZG2r_Tw,Barber shop,Barber shop,"Anadolu, Fazlı Sk., 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,False,False,barbershop,berber | erkek kuaforu | erkek kuaförü | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,barbershop,"barbershop ile cikti, berber, erkek kuaforu, erkek kuaförü, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:05:25.187Z,41.1876817,28.7538455
berber,İkizler erkek kuaförü CİHAN BURHAN,ChIJifDaDb6ryhQRJR-uYZH9vPE,https://www.google.com/maps/search/?api=1&query=%C4%B0kizler%20erkek%20kuaf%C3%B6r%C3%BC%20C%C4%B0HAN%20BURHAN&query_place_id=ChIJifDaDb6ryhQRJR-uYZH9vPE,Barber shop,Barber shop,"Arnavutköy Merkez, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,False,False,berber,erkek kuaforu | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,berber,"berber ile cikti, erkek kuaforu, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,5,shortlist,yorum yok | puan yok | telefon eksik | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:10.265Z,41.1864117,28.7388896
berber,Arnavutköy erkek kuaförü,ChIJOW4lPuCryhQRzLd7PSLR8Dw,https://www.google.com/maps/search/?api=1&query=Arnavutk%C3%B6y%20erkek%20kuaf%C3%B6r%C3%BC&query_place_id=ChIJOW4lPuCryhQRzLd7PSLR8Dw,Beautician,Beautician,"Karlıbayır, Kuğulu Sk. no:16b, 34100 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,+90 552 085 11 79,False,,,0,False,False,erkek kuaförü,berber | erkek kuaforu | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaförü,"erkek kuaförü ile cikti, berber, erkek kuaforu, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,4,review,yorum yok | puan yok | saat bilgisi eksik | tek arama teriminde gorundu,1,2026-04-22T16:05:51.978Z,41.1842676,28.7132185
berber,Saloon By Ferdi Erkek Kuaförü,ChIJf5ZM6n6ryhQRXzFXdCTZJJI,https://www.google.com/maps/search/?api=1&query=Saloon%20By%20Ferdi%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJf5ZM6n6ryhQRXzFXdCTZJJI,Hair salon,Hair salon,"Arnavutköy Merkez, Semih Sk. No:21, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,True,False,erkek kuaforu | kuaför,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber | guzellik salonu,,2,erkek kuaforu,"erkek kuaforu, kuaför ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",sinirli,4,review,yorum yok | puan yok | telefon eksik,2,2026-04-22T16:06:08.684Z,41.1846984,28.738314
berber,Sultan Erkek Kuaförü,ChIJFVDopJSryhQRao1Kxq8zg24,https://www.google.com/maps/search/?api=1&query=Sultan%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJFVDopJSryhQRao1Kxq8zg24,Hairdresser,Hairdresser,"Anadolu, Mimar Sinan Cd. No:40, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,,0,True,False,erkek kuaforu,berber | erkek kuaförü | barbershop | guzellik salonu | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber,guzellik salonu,1,erkek kuaforu,"erkek kuaforu ile cikti, berber, erkek kuaförü, barbershop, guzellik salonu, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",tek-terim,4,review,yorum yok | puan yok | telefon eksik | tek arama teriminde gorundu,1,2026-04-22T16:06:18.683Z,41.1876347,28.7483235
berber,Hasan Erkek Kuaförü,ChIJe1_6XO5WtRQRIqLB9RjnoH4,https://www.google.com/maps/search/?api=1&query=Hasan%20Erkek%20Kuaf%C3%B6r%C3%BC&query_place_id=ChIJe1_6XO5WtRQRIqLB9RjnoH4,Hair salon,Hair salon,"Hadımköy, Hadımköy TOKİ Konutları, 34555 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,1,5,False,False,erkek kuaförü | kuafor,berber | erkek kuaforu | barbershop | guzellik salonu | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber | guzellik salonu,,2,erkek kuaförü,"erkek kuaförü, kuafor ile cikti, berber, erkek kuaforu, barbershop, guzellik salonu, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",sinirli,3,review,yorum dusuk | telefon eksik | saat bilgisi eksik,2,2026-04-22T16:05:17.927Z,41.1811054,28.6124007
berber,Sezer Kuaför,ChIJsbCTpcOryhQRhcAjUzoN0zE,https://www.google.com/maps/search/?api=1&query=Sezer%20Kuaf%C3%B6r&query_place_id=ChIJsbCTpcOryhQRhcAjUzoN0zE,Hair salon,Hair salon,"Arnavutköy Merkez, Nene Hatun Cd. No:6, 34275 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,4.6,5,False,False,berber | kuaför,erkek kuaforu | erkek kuaförü | barbershop | guzellik salonu | kuafor | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber | guzellik salonu,,2,berber,"berber, kuaför ile cikti, erkek kuaforu, erkek kuaförü, barbershop, guzellik salonu, kuafor, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",sinirli,3,review,yorum dusuk | telefon eksik | saat bilgisi eksik,2,2026-04-22T16:06:20.930Z,41.1827216,28.7394189
berber,Faik Bozok Saç Tasarim,ChIJ_wcTrQhXtRQRiHUZpaOUYY8,https://www.google.com/maps/search/?api=1&query=Faik%20Bozok%20Sa%C3%A7%20Tasarim&query_place_id=ChIJ_wcTrQhXtRQRiHUZpaOUYY8,Hair salon,Hair salon,"Hadımköy, Ayasofya Cd. No:26, 34555 Arnavutköy/İstanbul, Türkiye",Arnavutkoy,Arnavutköy,,False,,3.8,4,False,False,berber | guzellik salonu,erkek kuaforu | erkek kuaförü | barbershop | kuafor | kuaför | bayan kuaforu | bayan kuaförü | sac tasarim | saç tasarım | beauty salon,berber | guzellik salonu,,2,berber,"berber, guzellik salonu ile cikti, erkek kuaforu, erkek kuaförü, barbershop, kuafor, kuaför, bayan kuaforu, bayan kuaförü, sac tasarim, saç tasarım, beauty salon ile cikmadi",sinirli,3,review,yorum dusuk | telefon eksik | saat bilgisi eksik,2,2026-04-22T16:05:06.109Z,41.1561331,28.6207672
